System_ID,Name,Website_Breadcrumb,Inode_Breadcrumb,Image,Website_name,Brand,Color
5a59ffa0e7826cf07e314bc6,"""A Little Fable Girls Navy Blue Colourblocked Fit and Flare Dress""",Apparel > Dress > Dresses,Home > Fashion > Apparel > Dress > Dresses,"[""http://www.myntra.com/dresses/a-little-fable/a-little-fable-girls-navy-blue-colourblocked-fit-and-flare-dress/2391486/buy"", ""http://developer.myntra.com/style/2391486""]",www.myntra.com,fable,blue
589478574199f74d15f02162,"""Sand Dune Blue Checked Lounge Pants 4977""",Apparel > Loungewear and Nightwear > Lounge Pants,Home > Fashion > Lingerie > Loungewear and Nightwear,"[""http://www.myntra.com/lounge-pants/sand-dune/sand-dune-blue-checked-lounge-pants-4977/1743299/buy"", ""http://developer.myntra.com/style/1743299""]",www.myntra.com,sand dune,blue
5a5c19a663453ca3a74204f5,"""Sudarshan Silks Green Woven Design Cotton Blend Handloom Saree""",Apparel > Saree > Sarees,Home > Fashion > Apparel > Ethnic Wear > Sari,"[""http://www.myntra.com/sarees/sudarshan-silks/sudarshan-silks-green-woven-design-cotton-blend-saree/2391015/buy"", ""http://developer.myntra.com/style/2391015"", ""http://www.myntra.com/sarees/sudarshan-silks/sudarshan-silks-green-woven-design-cotton-blend-handloom-saree/2391015/buy""]",www.myntra.com,sudarshan silks,green
5ad8e247cc73156f85f1166c,"""American Bull Men Black Low-Rise Clean Look Stretchable Jogger Jeans""",Apparel > Bottomwear > Jeans,Home > Fashion > Apparel > Bottomwear > Jeans,"[""http://www.myntra.com/jeans/american-bull/american-bull-men-black-low-rise-clean-look-stretchable-jogger-jeans/4609417/buy"", ""http://developer.myntra.com/style/4609417""]",www.myntra.com,american bull,black
5a868cdd2391b6303fd96d82,"""Peter England Grey Solid Tailored Fit Single-Breasted Formal Blazer""",Apparel > Topwear > Blazers,Home > Fashion > Apparel > Topwear > Blazers and Coats > Blazer,"[""http://www.myntra.com/blazers/peter-england/peter-england-grey-solid-tailored-fit-single-breasted-formal-blazer/2423753/buy"", ""http://developer.myntra.com/style/2423753""]",www.myntra.com,peter england,grey
5795dd01e295375401feec3b,"""Locomotive Charcoal Grey Printed Slim Fit Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/locomotive/locomotive-charcoal-grey-printed-slim-fit-casual-shirt/1412780/buy"", ""http://developer.myntra.com/style/1412780""]",www.myntra.com,locomotive,grey
5aad2407fbcdad9abd0f310e,"""University of Oxford by People Men Red Printed Round Neck T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/university-of-oxford-by-people/university-of-oxford-by-people-men-red-printed-round-neck-t-shirt/2461139/buy"", ""http://developer.myntra.com/style/2461139""]",www.myntra.com,university of oxford,red
5a30814d85431a09f33add5f,"""COVER STORY Women Red Striped Cold Shoulder Top""",Apparel > Topwear > Tops,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"[""http://www.myntra.com/tops/cover-story/cover-story-women-red-striped-cold-shoulder-top/2279159/buy"", ""http://developer.myntra.com/style/2279159""]",www.myntra.com,cover story,red
5aea00cdc097afcf35ad47a9,"""Code 61 Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans""",Apparel > Bottomwear > Jeans,Home > Fashion > Apparel > Bottomwear > Jeans,"[""http://www.myntra.com/jeans/code-61/code-61-women-blue-skinny-fit-mid-rise-clean-look-stretchable-cropped-jeans/4440788/buy"", ""http://developer.myntra.com/style/4440788""]",www.myntra.com,code 61,blue
597fb8d2d7d6f2f2d154999f,"""FOREVER 21 Women Blue Solid Fit & Flare Dress""",Apparel > Dress > Dresses,Home > Fashion > Apparel > Dress > Dresses,"[""http://www.myntra.com/dresses/forever-21/forever-21-women-blue-solid-fit--flare-dress/1621099/buy"", ""http://developer.myntra.com/style/1621099""]",www.myntra.com,forever21,blue
54f70460ab60e8f60b98a1bd,"""John Players Men Green Slim Fit Semiformal Trousers""",Apparel > Bottomwear > Trousers,Home > Fashion > Apparel > Bottomwear > Trousers and Pants,"[""http://www.myntra.com/trousers/john-players/john-players-men-green-slim-fit-semiformal-trousers/672051/buy"", ""http://developer.myntra.com/style/672051""]",www.myntra.com,john players,green
56509feea8da00febc9aa408,"""Flying Machine Off-White Sweater""",Apparel > Topwear > Sweaters,Home > Fashion > Apparel > Topwear > Sweaters,"[""http://www.myntra.com/sweaters/flying-machine/flying-machine-off-white-sweater/1065853/buy"", ""http://developer.myntra.com/style/1065853""]",www.myntra.com,flying machine,white
5a96c462819bebb4c42c376c,"""Allen Solly Men Blue Slim Fit Printed Casual Shirt""",Apparel > Topwear > Shirts,Home > Fashion > Apparel > Topwear > Shirts,"[""http://www.myntra.com/shirts/allen-solly/allen-solly-men-blue-slim-fit-printed-casual-shirt/2446768/buy"", ""http://developer.myntra.com/style/2446768""]",www.myntra.com,allen solly,blue
5a1724b57b22a26289126de3,"""HIGHLANDER Men Blue Slim Tapered Fit Mildly Distressed Ankle Length Stretchable Jeans""",Apparel > Bottomwear > Jeans,Home > Fashion > Apparel > Bottomwear > Jeans,"[""http://www.myntra.com/jeans/highlander/highlander-men-blue-slim-tapered-fit-mildly-distressed-ankle-length-stretchable-jeans/2174892/buy"", ""http://developer.myntra.com/style/2174892""]",www.myntra.com,highlander,blue
583a35c11c1f98dc2001646f,"""Sukkhi Green & Red Gold-Plated Embellished Jewellery Set""",Accessories > Jewellery > Jewellery Set,Home > Fashion > Fashion Accessories > Jewellery > Jewellery Set,"[""http://www.myntra.com/jewellery-set/sukkhi/sukkhi-green--red-gold-plated-embellished-jewellery-set/1561677/buy"", ""http://developer.myntra.com/style/1561677""]",www.myntra.com,sukkhi,green
5ae5d34dd87d83c1790128ed,"""Kielz Women Navy Blue Solid Sandals""",Footwear > Shoes > Heels,Home > Fashion > Footwear > Sandals,"[""http://www.myntra.com/heels/kielz/kielz-women-navy-blue-solid-sandals/5523478/buy"", ""http://developer.myntra.com/style/5523478""]",www.myntra.com,kielz,blue
5afb2785e82b64c7c78fe459,"""Sports52 wear Black Hooded Rain Jacket""",Apparel > Topwear > Rain Jacket,Home > Fashion > Apparel > Topwear > Blazers and Coats > Raincoat,"[""http://www.myntra.com/rain-jacket/sports52-wear/sports52-wear-black-hooded-rain-jacket/2078630/buy"", ""http://developer.myntra.com/style/2078630""]",www.myntra.com,sports 52 wear,black
